,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
123,appartement ," La Seyne-sur-Mer, France",Room,2,no,8,1.0,4.92,92.0,123.0,Anthony,depuis 3 ans,Provence-Alpes-Côte d'Azur,"vue, plage, terrasse"
124,hébergement ," Port-des-Barques, France",Room,3,no,6,1.0,4.86,14.0,110.0,Maryline,depuis 2 ans,Nouvelle-Aquitaine,"piscine, équipée, calme"
125,hébergement ," Trégastel, France",Room,3,no,6,2.0,4.95,76.0,57.0,Arnaud Et Tiffen,depuis 4 ans,Bretagne,"plage, grand, équipée"
126,hébergement ," Saint-Mard-de-Réno, France",Room,3,no,6,1.0,4.94,32.0,70.0,Sonia,,Normandie,"calme, accueillante, campagne"
127,appartement ," Aime-la-Plagne, France",Room,2,yes,6,1.0,5.0,31.0,120.0,Alex,6 mois,Auvergne-Rhône-Alpes,"vue, parking, propre"
128,résidence de tourisme ," Gérardmer, France",Room,4,no,8,4.0,4.88,93.0,180.0,Tonino,depuis 4 ans,Grand Est,"propre, spa, sentier"
129,maison de ville ," Arnage, France",Room,2,no,6,1.0,4.91,318.0,81.0,Pauline,depuis 2 ans,Pays de la Loire,"propre, calme, fenêtre"
130,hébergement ," Jullouville, France",Room,3,no,7,1.0,5.0,37.0,127.0,Sophie,depuis 2 ans,Normandie,"piscine, plage, propre"
131,villa ," Frontignan, France",Room,2,no,6,1.0,,2.0,47.0,Sandrine,,Occitanie,"environnement, calme, accueillant"
132,appartement ," Antibes, France",Room,2,yes,6,1.0,5.0,46.0,128.0,Joshua,,Provence-Alpes-Côte d'Azur,"vue, propre, plage"
133,cottage ," Plouescat, France",Room,3,no,6,1.0,4.91,77.0,49.0,Erwan,depuis 9 ans,Bretagne,"plage, animal, calme"
134,suite ," Verton, France",Room,2,yes,6,1.0,4.95,155.0,96.0,Celine,depuis 2 ans,Hauts-de-France,"propre, plage, calme"
135,hébergement ," Plévenon, France",Room,3,yes,6,1.0,4.98,98.0,155.0,Loïc,depuis 6 ans,Bretagne,"plage, vue, cuisine"
136,hébergement ," Saint-Jean-Saint-Maurice-sur-Loire, France",Room,1,yes,5,1.0,4.97,181.0,85.0,Arnaud,depuis 5 ans,Auvergne-Rhône-Alpes,"sauna, campagne, calme"
137,maison de ville ," Sausset-les-Pins, France",Room,3,no,6,1.0,4.85,13.0,100.0,Aude,depuis 3 ans,Provence-Alpes-Côte d'Azur,"grand, plage, sentier"
138,cabane ," Tournavaux, France",Room,2,no,5,,4.86,64.0,170.0,Johann,,Grand Est,"cabane, déjeuner, vue"
139,Gîte à la ferme ," Ranrupt, France",Room,2,yes,5,1.0,4.94,192.0,87.0,Wagner,depuis 8 ans,Grand Est,"animal, nature, confortable"
140,maison de ville ," Peyriac-de-Mer, France",Room,1,yes,4,1.0,4.96,158.0,61.0,Elise,depuis 4 ans,Occitanie,"propre, calme, confortable"
141,maison d'hôtes ," Entrechaux, France",Room,2,no,4,1.0,4.93,120.0,110.0,Nathalie Et Aubert,depuis 6 ans,Provence-Alpes-Côte d'Azur,"piscine, vue, mont"
142,appartement ," La Ciotat, France",Room,1,yes,2,1.0,4.9,62.0,98.0,Alain,6 mois,Provence-Alpes-Côte d'Azur,"plage, décoration, studio"
143,chalet ," Lanton, France",Room,2,yes,5,1.0,4.97,108.0,60.0,Christopher Marlène,depuis 4 ans,Nouvelle-Aquitaine,"piscine, propre, extérieur"
144,résidence de tourisme ," Asnières-sur-Seine, France",Room,1,no,2,1.0,4.62,2.0,80.0,"Residhome, Séjours & Affaires",depuis 4 ans,Île-de-France,"propre, chauffage, base"
145,chalet ," Corcieux, France",Room,3,no,6,1.0,4.87,195.0,122.0,Richard,depuis 3 ans,Grand Est,"remerci, vue, calme"
146,hébergement ," Dammartin-en-Goële, France",Room,1,no,4,1.0,4.92,51.0,108.0,Amandine,6 mois,Île-de-France,"propre, gentil, relaxer"
