,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
410,hébergement ," Barésia-sur-l'Ain, France",Room,2,no,5,1.0,5.0,32.0,92.0,Émilie Et Damien,11 mois,Bourgogne-Franche-Comté,"vue, terrasse, équipée"
411,Cabane perchée ," Le Passage, France",Room,1,yes,2,1.0,5.0,79.0,65.0,Jeremie,depuis 6 ans,Auvergne-Rhône-Alpes,"cabane, vue, terrasse"
412,Tiny house ," Istres, France",Unknown,0,yes,3,1.0,5.0,73.0,86.0,Elodie,8 mois,Provence-Alpes-Côte d'Azur,"vue, terrasse, studio"
413,Grotte ," Amboise, France",Room,1,yes,2,1.0,4.99,183.0,163.0,Cyril,,Centre-Val de Loire,"atypique, déjeuner, expérience"
414,cabane ," Germs-sur-l'Oussouet, France",Room,1,yes,2,1.0,4.98,183.0,190.0,Danielle & Serge,depuis 5 ans,Occitanie,"cabane, vue, idyllique"
415,Cabane de berger ," Saint-Nabord, France",Unknown,0,no,2,1.0,4.88,259.0,71.0,Delphine Et Quentin,depuis 8 ans,Grand Est,"cabane, calme, nature"
416,Gîte à la ferme ," LE PUECH, France",Room,1,yes,2,1.0,4.98,219.0,155.0,Julien,depuis 2 ans,Occitanie,"marine, déjeuner, nature"
417,hébergement ," La Garde, France",Room,1,no,2,1.0,5.0,59.0,67.0,William,5 mois,Auvergne-Rhône-Alpes,"déjeuner, studio, nature"
418,Tiny house ," Quistinic, France",Room,1,yes,3,1.0,4.99,145.0,51.0,Sarah,depuis 2 ans,Bretagne,"nature, attention, calme"
419,Dôme ," Veynes, France",Room,1,yes,2,1.0,5.0,45.0,196.0,Xavier,depuis 4 ans,Provence-Alpes-Côte d'Azur,"bulle, expérience, propre"
420,Dôme ," Gouvieux, France",Room,1,yes,2,1.0,4.89,85.0,170.0,Benjamin,5 mois,Hauts-de-France,"bulle, expérience, chauffage"
421,chalet ," Longpré-les-Corps-Saints, France",Room,1,yes,4,1.0,4.97,62.0,160.0,Leslie,7 mois,Hauts-de-France,"calme, spa, propre"
422,appartement ," Besançon, France",Room,1,yes,2,1.0,4.96,110.0,77.0,Gaétan,,Bourgogne-Franche-Comté,"propre, spa, calme"
423,appartement ," Dijon, France",Room,1,yes,2,1.0,4.97,151.0,156.0,Olivier,10 mois,Bourgogne-Franche-Comté,"suite, atypique, propre"
424,Cabane perchée ," Berrias-et-Casteljau, France",Room,1,yes,2,1.0,4.98,198.0,115.0,Pauline,depuis 2 ans,Auvergne-Rhône-Alpes,"cabane, atypique, nature"
425,Cabane perchée ," Friaize, France",Room,1,yes,2,1.0,5.0,293.0,177.0,Jean Philippe,depuis 7 ans,Centre-Val de Loire,"cabane, déjeuner, copieux"
426,Dôme ," Grundviller, France",Room,1,no,2,1.0,5.0,21.0,190.0,"Le Domaine Des Pins, Grundviller",3 mois,Grand Est,"déjeuner, vue, remou"
427,Cabane perchée ," Duclair, France",Room,1,no,4,1.0,4.68,454.0,85.0,Remy,depuis 3 ans,Normandie,"cabane, expérience, nature"
428,chalet ," Canavaggia, France",Room,1,yes,2,1.0,4.88,65.0,45.0,Mélissa,depuis 2 ans,Corse,"vue, montagne, coucher"
429,Logement entier ," Serraval, France",Room,1,yes,2,1.0,5.0,76.0,110.0,Carine Et Sylvain,,Auvergne-Rhône-Alpes,"vue, montagne, calme"
430,appartement ," Bourg-en-Bresse, France",Room,1,yes,2,1.0,5.0,20.0,104.0,Christine,1 mois,Auvergne-Rhône-Alpes,"grand, propre, restaurant"
431,Tiny house ," Uzemain, France",Room,1,no,3,1.0,4.95,86.0,105.0,Homnest,depuis 3 ans,Grand Est,"nature, vue, calme"
432,Cabane perchée ," Weyersheim, France",Room,1,yes,2,1.0,4.9,70.0,174.0,Jennifer Et Eric,depuis 3 ans,Grand Est,"cabane, chauffage, animal"
433,maison de ville ," Fougères, France",Studio,0,yes,2,1.0,4.97,416.0,118.0,Cindy,depuis 4 ans,Bretagne,"château, romantique, propre"
434,hébergement ," La Sauvetat, France",Room,1,yes,4,1.0,5.0,10.0,75.0,Lucie,2 mois,Occitanie,"attention, atypique, marché"
435,appartement ," Mondragon, France",Room,1,yes,4,1.0,5.0,37.0,192.0,Fabien,6 mois,Provence-Alpes-Côte d'Azur,"piscine, spa, propre"
436,Tiny house ," Saint-Hilaire-de-Riez, France",Unknown,0,no,2,1.0,4.95,452.0,81.0,Françoise Et Philippe,depuis 5 ans,Pays de la Loire,"plage, accueillante, spa"
437,chalet ," Allarmont, France",Studio,0,yes,2,1.0,4.98,45.0,125.0,Alexandra,4 mois,Grand Est,"nature, calme, propre"
438,appartement ," Hyères, France",Room,1,yes,2,1.0,5.0,38.0,100.0,Patrick,2 mois,Provence-Alpes-Côte d'Azur,"propre, cocon, cocooning"
439,maison d'hôtes ," Saint-Étienne-de-Crossey, France",Room,1,no,2,1.0,4.85,852.0,41.0,Xavier,,Auvergne-Rhône-Alpes,"terrasse, vue, montagne"
440,appartement ," Dole, France",Room,1,yes,2,1.0,4.9,390.0,86.0,David,depuis 3 ans,Bourgogne-Franche-Comté,"déjeuner, parking, propre"
441,cabane ," Isserteaux, France",Room,2,yes,4,1.0,4.96,273.0,75.0,Barbara,depuis 9 ans,Auvergne-Rhône-Alpes,"cabane, vue, nature"
442,maison d'hôtes ," Saint-Martin-du-Var, France",Studio,0,yes,2,1.0,4.99,499.0,250.0,Christian,depuis 6 ans,Provence-Alpes-Côte d'Azur,"christian, déjeuner, vue"
443,Tiny house ," La Brède, France",Room,1,yes,2,1.0,4.98,675.0,80.0,Léa,depuis 5 ans,Nouvelle-Aquitaine,"studio, propre, déjeuner"
444,cabane ," Sallanches, France",Room,1,yes,2,1.0,4.97,222.0,80.0,Alexis,depuis 2 ans,Auvergne-Rhône-Alpes,"mont, déjeuner, vue"
445,cabane ," Mollkirch, France",Room,1,yes,2,1.0,4.87,95.0,145.0,Olivier Et Amanda,depuis 2 ans,Grand Est,"sauna, marché, propre"
446,appartement en résidence ," 07700 Saint Just d’Ardèche, France",Room,1,no,2,1.0,4.99,226.0,70.0,Pascal & Véronique,depuis 5 ans,Auvergne-Rhône-Alpes,"calme, confortable, grand"
447,appartement ," Bitche, France",Room,1,no,2,1.0,5.0,5.0,115.0,Zaïr,,Grand Est,"chaude, froid, cuisine"
448,appartement en résidence ," 07700 Saint Just d’Ardèche, France",Room,1,no,2,1.0,4.99,226.0,70.0,Pascal & Véronique,depuis 5 ans,Auvergne-Rhône-Alpes,"calme, confortable, grand"
449,maison d'hôtes ," Liniers, France",Room,1,yes,4,1.0,4.99,168.0,71.0,Céline Et Alexandre,depuis 3 ans,Nouvelle-Aquitaine,"alexandre, piscine, spa"
450,appartement ," Violes, France",Studio,0,no,2,1.0,5.0,7.0,59.0,Youssef,7 mois,Provence-Alpes-Côte d'Azur,"qualité, romantique, cocon"
451,hébergement ," Feneyrols, France",Room,1,yes,2,1.0,4.95,195.0,96.0,Melissa,depuis 3 ans,Occitanie,"spa, calme, nature"
452,Cabane perchée ," Solliès-Toucas, France",Room,1,no,2,1.0,4.94,177.0,220.0,Geoffroy,depuis 8 ans,Provence-Alpes-Côte d'Azur,"cabane, calme, vue"
453,hébergement ," Génolhac, France",Studio,0,yes,4,1.0,4.91,318.0,53.0,Laurent,depuis 7 ans,Occitanie,"nature, calme, cabane"
454,Grange ," La Chapelle-Longueville, France",Room,1,yes,4,1.0,5.0,115.0,64.0,Aurore Et Karl,depuis 6 ans,Normandie,"sauna, animal, terrasse"
455,cabane ," Gathemo, France",Room,2,yes,4,1.0,4.95,96.0,101.0,Charly,depuis 9 ans,Normandie,"cabane, calme, confortable"
456,appartement ," Saint-Ouen-d'Aunis, France",Room,1,yes,2,1.0,4.97,146.0,30.0,Julien,depuis 4 ans,Nouvelle-Aquitaine,"studio, propre, calme"
457,hébergement ," La Trinité, France",Room,1,no,2,1.0,4.98,45.0,115.0,Thomas,4 mois,Normandie,"vue, propre, grand"
458,Cabane perchée ," Mittlach, France",Room,2,no,4,1.0,4.97,90.0,197.0,Vanessa,depuis 2 ans,Grand Est,"cabane, déjeuner, montagne"
459,hébergement ," Arthez-d'Asson, France",Room,1,yes,2,1.0,4.95,150.0,100.0,Malvina,depuis 2 ans,Nouvelle-Aquitaine,"montagne, vue, accueillante"
460,suite ," Les Pennes-Mirabeau, France",Room,1,yes,2,1.0,5.0,21.0,264.0,Fabien,3 mois,Provence-Alpes-Côte d'Azur,"déjeuner, suite, copieux"
461,Logement entier ," Marais-Vernier, France",Room,1,yes,4,1.0,4.95,381.0,181.0,Monika,depuis 5 ans,Normandie,"piscine, suite, vue"
